Rank,Title,Author,Price
#1,Veba Geceleri,Orhan Pamuk,"₺22,48"
#2,Altıncı Koğuş: Modern Klasikler Dizisi - 102,Anton Pavloviç Çehov,"₺3,50"
#3,Hayvan Çiftliği,George Orwell,"₺5,99"
#4,VAR MISIN? Güçlü Bir Yaşam İçin Öneriler,Doğan Cüceloğlu,"₺18,98"
#5,Bir İdam Mahkumunun Son Günü: Hasan Ali Yücel Klasikleri,Victor Hugo,"₺5,00"
#6,Nasıl Ölünür: Dünya Klasikleri / 10,Emile Zola,"₺5,01"
#7,İnsan Neyle Yaşar?,Lev Nikolayeviç Tolstoy,"₺5,00"
#8,"Sokrates’in Savunması: Euthyphron, Apologia, Kriton, Phaidon - Hasan Ali Yücel Klasikler Dizisi",Platon,"₺6,94"
#9,Yeraltından Notlar: Hasan Ali Yücel Klasikleri,Fyodor Mihayloviç Dostoyevski,"₺6,83"
#10,Sineklerin Tanrısı: Modern Klasikler Serisi,William Golding,"₺7,99"
#11,Puslu Kıtalar Atlası,İhsan Oktay Anar,"₺18,28"
#12,Cesur Fırfır,Angela McAllister,"₺3,54"
#13,Savaş Sanatı: Hasan Ali Yücel Klasikler Dizisi,Sun Zi,"₺4,00"
#14,Momo,Michael Ende,"₺16,08"
#15,Zacharius Usta: Modern Klasikler Dizi 110,Jules Verne,"₺3,00"
#16,Suç ve Ceza: Hasan Ali Yücel Klasikleri,Fyodor Mihayloviç Dostoyevski,"₺13,09"
#17,Otomatik Portakal: Modern Klasikler Serisi,Anthony Burgess,"₺7,99"
#18,Mecburiyet: Modern Klasikler Dizisi - 104,Stefan Zweig,"₺3,00"
#19,Kurtlarla Koşan Kadınlar: Vahşi Kadın Arketipine Dair Mit ve Öyküler,Clarissa P. Estes,"₺36,06"
#20,Bir Kuzey Macerası: Modern Klasikler Dizi 111,Jack London,"₺3,50"
#21,Amok Koşucusu: Modern Klasikler Serisi,Stefan Zweig,"₺3,50"
#22,Cesur Yeni Dünya,Aldous Huxley,"₺14,89"
#23,Beyaz Zambaklar Ülkesinde: Atatürk'ün Okulların Müfredatına Konulmasını Emrettiği Kitap,Grigory Petrov,"₺8,39"
#24,Martin Eden: Modern Klasikler Serisi,Jack London,"₺14,74"
#25,Körlük: 1998 Nobel Edebiyat Ödülü,Jose Saramago,"₺21,39"
#26,"Ben, Kirke",Madeline Miller,"₺20,98"
#27,Kan Ter ve Pikseller: Video Oyun Yapımcılığının Arkasındaki Çalkantılı ve Zafer Dolu Hikayeler,Jason Schreier,"₺20,38"
#28,Yaşamak,Yu Hua,"₺14,84"
#29,Genç Werther’in Acıları,Johann Wolfgang Von Goethe,"₺5,99"
#30,Karamazov Kardeşler,Fyodor Mihayloviç Dostoyevski,"₺15,98"
#31,Masumiyet Müzesi,MURAT ÖMER YALÇIN,"₺21,98"
#32,Tüfek Mikrop ve Çelik,Jared Diamond,"₺30,96"
#33,Kumarbaz: Genç Bir Adamın Notlarından,Fyodor Mihayloviç Dostoyevski,"₺7,52"
#34,İnsanın Anlam Arayışı: Man's Search for Maning: Man's Search for Maning,Viktor Frankl,"₺20,88"
#35,Satranç: Modern Klasikler Serisi,Stefan Zweig,"₺3,50"
#36,Düşünce ve Tartışma Özgürlüğü Üstüne,John Stuart Mill,"₺4,81"
#37,Dönüşüm: Modern Klasikler Serisi,Franz Kafka,"₺3,54"
#38,Hamlet,William Shakespeare,"₺6,94"
#39,Hayvanlardan Tanrılara Sapiens: İnsan Türünün Kısa Bir Tarihi,Yuval Noah Harari,"₺27,47"
#40,Bir Delinin Anı Defteri: Palto-Burun-Petersburg Öyküleri Ve Fayton,Nikolay Vasilyeviç Gogol,"₺6,99"
#41,Atomik Alışkanlıklar,James Clear,"₺23,57"
#42,Akıllı Yatırımcı: Warren Buffett’ın önsözü ve sonsözüyle - Jason Zweig’in güncel yorumlarıyla zenginleştirilmiş yeni baskı,Benjamin Graham,"₺41,21"
#43,Genç Kral,Oscar Wilde,"₺4,99"
#44,Serenad,Zülfü Livaneli,"₺25,97"
#45,Ay Işığı Sokağı: Modern Klasikler Dizisi - 98,Stefan Zweig,"₺3,50"
#46,MUTLU SUAYGIRI,Kolektif,"₺5,49"
#47,Harry Potter ve Felsefe Taşı: 1.Kitap,J. K. Rowling,"₺13,99"
#48,Olağanüstü Bir Gece: Modern Klasikler Serisi,Stefan Zweig,"₺4,72"
#49,İnci,John Steinbeck,"₺10,39"
#50,Outliers - Çizginin Dışındakiler: Bazı İnsanlar Neden Daha Başarılı Olur?,Malcolm Gladwell,"₺24,68"
