Name,Production year,Director,Metascore
Monday,2020,Argyris Papadimitropoulos,64        
Vanquish,2021,George Gallo,Not yet scored
Trigger Point,2021,Brad Turner,Not yet scored
Mortal Kombat,2021,Simon McQuoid,Not yet scored
We Broke Up,2021,Jeff Rosenberg,Not yet scored
Assault on VA-33,2021,Christopher Ray,Not yet scored
The Mitchells vs. the Machines,2021,Michael Rianda,Not yet scored
In the Earth,2021,Ben Wheatley,61        
Here Are the Young Men,2020,Eoin Macken,Not yet scored
Separation,2021,William Brent Bell,Not yet scored
The Resort,2021,Taylor Chien,Not yet scored
